PV_Origin,PV_Destination,PV_Distance_km,PV_Year,DV_Quantity_Rice
Bacolod City,"Virac, Catanduanes",351.65,2000,
Bacolod City,"Virac, Catanduanes",351.65,2001,
Bacolod City,"Virac, Catanduanes",351.65,2002,
Bacolod City,"Virac, Catanduanes",351.65,2003,
Bacolod City,"Virac, Catanduanes",351.65,2004,
Bacolod City,"Virac, Catanduanes",351.65,2005,
Bacolod City,"Virac, Catanduanes",351.65,2006,
Bacolod City,"Virac, Catanduanes",351.65,2007,
Bacolod City,"Virac, Catanduanes",351.65,2008,
Bacolod City,"Virac, Catanduanes",351.65,2009,
Bacolod City,"Virac, Catanduanes",351.65,2010,
Bacolod City,"Virac, Catanduanes",351.65,2011,
Bacolod City,"Virac, Catanduanes",351.65,2012,
Bacolod City,"Virac, Catanduanes",351.65,2013,
Bacolod City,"Virac, Catanduanes",351.65,2014,
Bacolod City,"Virac, Catanduanes",351.65,2015,
Bacolod City,"Virac, Catanduanes",351.65,2016,
Bacolod City,"Virac, Catanduanes",351.65,2017,
Bacolod City,"Virac, Catanduanes",351.65,2018,
Bacolod City,"Virac, Catanduanes",351.65,2019,
Bacolod City,"Virac, Catanduanes",351.65,2020,
Bacolod City,"Virac, Catanduanes",351.65,2021,
Bacolod City,"Virac, Catanduanes",351.65,2022,
"Basco, Batanes",Manila,660.27,1995,
"Basco, Batanes",Manila,660.27,1996,6
"Basco, Batanes",Manila,660.27,1997,
"Basco, Batanes",Manila,660.27,1998,10
"Basco, Batanes",Manila,660.27,1999,
"Basco, Batanes",Manila,660.27,2000,
"Basco, Batanes",Manila,660.27,2001,
"Basco, Batanes",Manila,660.27,2002,
"Basco, Batanes",Manila,660.27,2003,
"Basco, Batanes",Manila,660.27,2004,
"Basco, Batanes",Manila,660.27,2005,
"Basco, Batanes",Manila,660.27,2006,
"Basco, Batanes",Manila,660.27,2007,
"Basco, Batanes",Manila,660.27,2008,
"Basco, Batanes",Manila,660.27,2009,
"Basco, Batanes",Manila,660.27,2010,
"Basco, Batanes",Manila,660.27,2011,
"Basco, Batanes",Manila,660.27,2012,
"Basco, Batanes",Manila,660.27,2013,
"Basco, Batanes",Manila,660.27,2014,
"Basco, Batanes",Manila,660.27,2015,
"Basco, Batanes",Manila,660.27,2016,
"Basco, Batanes",Manila,660.27,2017,
"Basco, Batanes",Manila,660.27,2018,
"Basco, Batanes",Manila,660.27,2019,
"Basco, Batanes",Manila,660.27,2020,
"Basco, Batanes",Manila,660.27,2021,
"Basco, Batanes",Manila,660.27,2022,
"Basco, Batanes",Laoag City,289.8,1995,3
"Basco, Batanes",Laoag City,289.8,1996,16
"Basco, Batanes",Laoag City,289.8,1997,3
"Basco, Batanes",Laoag City,289.8,1998,
"Basco, Batanes",Laoag City,289.8,1999,
"Basco, Batanes",Laoag City,289.8,2000,
"Basco, Batanes",Laoag City,289.8,2001,
"Basco, Batanes",Laoag City,289.8,2002,
"Basco, Batanes",Laoag City,289.8,2003,
"Basco, Batanes",Laoag City,289.8,2004,
"Basco, Batanes",Laoag City,289.8,2005,
"Basco, Batanes",Laoag City,289.8,2006,
"Basco, Batanes",Laoag City,289.8,2007,
"Basco, Batanes",Laoag City,289.8,2008,
"Basco, Batanes",Laoag City,289.8,2009,
"Basco, Batanes",Laoag City,289.8,2010,
"Basco, Batanes",Laoag City,289.8,2011,
"Basco, Batanes",Laoag City,289.8,2012,
"Basco, Batanes",Laoag City,289.8,2013,
"Basco, Batanes",Laoag City,289.8,2014,
"Basco, Batanes",Laoag City,289.8,2015,
"Basco, Batanes",Laoag City,289.8,2016,
"Basco, Batanes",Laoag City,289.8,2017,
"Basco, Batanes",Laoag City,289.8,2018,
"Basco, Batanes",Laoag City,289.8,2019,
"Basco, Batanes",Laoag City,289.8,2020,
"Basco, Batanes",Laoag City,289.8,2021,
"Basco, Batanes",Laoag City,289.8,2022,
Butuan City,Manila,797.23,1995,
Butuan City,Manila,797.23,1996,253
Butuan City,Manila,797.23,1997,
Butuan City,Manila,797.23,1998,
Butuan City,Manila,797.23,1999,410
Butuan City,Manila,797.23,2000,345
Butuan City,Manila,797.23,2001,433
Butuan City,Manila,797.23,2002,
Butuan City,Manila,797.23,2003,
Butuan City,Manila,797.23,2004,
Butuan City,Manila,797.23,2005,
Butuan City,Manila,797.23,2006,
Butuan City,Manila,797.23,2007,
Butuan City,Manila,797.23,2008,
Butuan City,Manila,797.23,2009,403
Butuan City,Manila,797.23,2010,
Butuan City,Manila,797.23,2011,
Butuan City,Manila,797.23,2012,
Butuan City,Manila,797.23,2013,1612
Butuan City,Manila,797.23,2014,
Butuan City,Manila,797.23,2015,
Butuan City,Manila,797.23,2016,
Butuan City,Manila,797.23,2017,
Butuan City,Manila,797.23,2018,
Butuan City,Manila,797.23,2019,
Butuan City,Manila,797.23,2020,
Butuan City,Manila,797.23,2021,
Butuan City,Manila,797.23,2022,
Butuan City,Cebu City,234.33,1995,
Butuan City,Cebu City,234.33,1996,44
Butuan City,Cebu City,234.33,1997,
Butuan City,Cebu City,234.33,1998,
Butuan City,Cebu City,234.33,1999,
Butuan City,Cebu City,234.33,2000,
Butuan City,Cebu City,234.33,2001,
Butuan City,Cebu City,234.33,2002,
Butuan City,Cebu City,234.33,2003,
Butuan City,Cebu City,234.33,2004,
Butuan City,Cebu City,234.33,2005,
Butuan City,Cebu City,234.33,2006,
Butuan City,Cebu City,234.33,2007,
Butuan City,Cebu City,234.33,2008,
Butuan City,Cebu City,234.33,2009,
Butuan City,Cebu City,234.33,2010,
Butuan City,Cebu City,234.33,2011,
Butuan City,Cebu City,234.33,2012,
Butuan City,Cebu City,234.33,2013,
Butuan City,Cebu City,234.33,2014,
Butuan City,Cebu City,234.33,2015,
Butuan City,Cebu City,234.33,2016,
Butuan City,Cebu City,234.33,2017,
Butuan City,Cebu City,234.33,2018,
Butuan City,Cebu City,234.33,2019,
Butuan City,Cebu City,234.33,2020,
Butuan City,Cebu City,234.33,2021,
Butuan City,Cebu City,234.33,2022,
Cotabato City,Manila,943.83,1995,339
Cotabato City,Manila,943.83,1996,435
Cotabato City,Manila,943.83,1997,339
Cotabato City,Manila,943.83,1998,218
Cotabato City,Manila,943.83,1999,
Cotabato City,Manila,943.83,2000,
Cotabato City,Manila,943.83,2001,
Cotabato City,Manila,943.83,2002,
Cotabato City,Manila,943.83,2003,
Cotabato City,Manila,943.83,2004,
Cotabato City,Manila,943.83,2005,
Cotabato City,Manila,943.83,2006,
Cotabato City,Manila,943.83,2007,
Cotabato City,Manila,943.83,2008,
Cotabato City,Manila,943.83,2009,
Cotabato City,Manila,943.83,2010,
Cotabato City,Manila,943.83,2011,
Cotabato City,Manila,943.83,2012,
Cotabato City,Manila,943.83,2013,
Cotabato City,Manila,943.83,2014,
Cotabato City,Manila,943.83,2015,
Cotabato City,Manila,943.83,2016,
Cotabato City,Manila,943.83,2017,
Cotabato City,Manila,943.83,2018,
Cotabato City,Manila,943.83,2019,
Cotabato City,Manila,943.83,2020,
Cotabato City,Manila,943.83,2021,
Cotabato City,Manila,943.83,2022,
Cotabato City,Cebu City,380.16,1995,40
Cotabato City,Cebu City,380.16,1996,169
Cotabato City,Cebu City,380.16,1997,40
Cotabato City,Cebu City,380.16,1998,1
Cotabato City,Cebu City,380.16,1999,
Cotabato City,Cebu City,380.16,2000,
Cotabato City,Cebu City,380.16,2001,
Cotabato City,Cebu City,380.16,2002,
Cotabato City,Cebu City,380.16,2003,
Cotabato City,Cebu City,380.16,2004,
Cotabato City,Cebu City,380.16,2005,
Cotabato City,Cebu City,380.16,2006,
Cotabato City,Cebu City,380.16,2007,
Cotabato City,Cebu City,380.16,2008,
Cotabato City,Cebu City,380.16,2009,
Cotabato City,Cebu City,380.16,2010,
Cotabato City,Cebu City,380.16,2011,
Cotabato City,Cebu City,380.16,2012,
Cotabato City,Cebu City,380.16,2013,
Cotabato City,Cebu City,380.16,2014,
Cotabato City,Cebu City,380.16,2015,
Cotabato City,Cebu City,380.16,2016,
Cotabato City,Cebu City,380.16,2017,
Cotabato City,Cebu City,380.16,2018,
Cotabato City,Cebu City,380.16,2019,
Cotabato City,Cebu City,380.16,2020,
Cotabato City,Cebu City,380.16,2021,
Cotabato City,Cebu City,380.16,2022,
Cotabato City,Zamboanga City,193.48,1995,56
Cotabato City,Zamboanga City,193.48,1996,14
Cotabato City,Zamboanga City,193.48,1997,56
Cotabato City,Zamboanga City,193.48,1998,
Cotabato City,Zamboanga City,193.48,1999,
Cotabato City,Zamboanga City,193.48,2000,
Cotabato City,Zamboanga City,193.48,2001,
Cotabato City,Zamboanga City,193.48,2002,
Cotabato City,Zamboanga City,193.48,2003,
Cotabato City,Zamboanga City,193.48,2004,
Cotabato City,Zamboanga City,193.48,2005,
Cotabato City,Zamboanga City,193.48,2006,
Cotabato City,Zamboanga City,193.48,2007,
Cotabato City,Zamboanga City,193.48,2008,
Cotabato City,Zamboanga City,193.48,2009,
Cotabato City,Zamboanga City,193.48,2010,
Cotabato City,Zamboanga City,193.48,2011,
Cotabato City,Zamboanga City,193.48,2012,
Cotabato City,Zamboanga City,193.48,2013,
Cotabato City,Zamboanga City,193.48,2014,
Cotabato City,Zamboanga City,193.48,2015,
Cotabato City,Zamboanga City,193.48,2016,
Cotabato City,Zamboanga City,193.48,2017,
Cotabato City,Zamboanga City,193.48,2018,
Cotabato City,Zamboanga City,193.48,2019,
Cotabato City,Zamboanga City,193.48,2020,
Cotabato City,Zamboanga City,193.48,2021,
Cotabato City,Zamboanga City,193.48,2022,
Cotabato City,Cagayan de Oro City,161.57,1995,
Cotabato City,Cagayan de Oro City,161.57,1996,53
Cotabato City,Cagayan de Oro City,161.57,1997,
Cotabato City,Cagayan de Oro City,161.57,1998,
Cotabato City,Cagayan de Oro City,161.57,1999,
Cotabato City,Cagayan de Oro City,161.57,2000,
Cotabato City,Cagayan de Oro City,161.57,2001,
Cotabato City,Cagayan de Oro City,161.57,2002,
Cotabato City,Cagayan de Oro City,161.57,2003,
Cotabato City,Cagayan de Oro City,161.57,2004,
Cotabato City,Cagayan de Oro City,161.57,2005,
Cotabato City,Cagayan de Oro City,161.57,2006,
Cotabato City,Cagayan de Oro City,161.57,2007,
Cotabato City,Cagayan de Oro City,161.57,2008,
Cotabato City,Cagayan de Oro City,161.57,2009,
Cotabato City,Cagayan de Oro City,161.57,2010,
Cotabato City,Cagayan de Oro City,161.57,2011,
Cotabato City,Cagayan de Oro City,161.57,2012,
Cotabato City,Cagayan de Oro City,161.57,2013,
Cotabato City,Cagayan de Oro City,161.57,2014,
Cotabato City,Cagayan de Oro City,161.57,2015,
Cotabato City,Cagayan de Oro City,161.57,2016,
Cotabato City,Cagayan de Oro City,161.57,2017,
Cotabato City,Cagayan de Oro City,161.57,2018,
Cotabato City,Cagayan de Oro City,161.57,2019,
Cotabato City,Cagayan de Oro City,161.57,2020,
Cotabato City,Cagayan de Oro City,161.57,2021,
Cotabato City,Cagayan de Oro City,161.57,2022,
Cotabato City,"Jolo, Sulu",452.73,1995,
Cotabato City,"Jolo, Sulu",452.73,1996,6
Cotabato City,"Jolo, Sulu",452.73,1997,
Cotabato City,"Jolo, Sulu",452.73,1998,
Cotabato City,"Jolo, Sulu",452.73,1999,
Cotabato City,"Jolo, Sulu",452.73,2000,
Cotabato City,"Jolo, Sulu",452.73,2001,
Cotabato City,"Jolo, Sulu",452.73,2002,
Cotabato City,"Jolo, Sulu",452.73,2003,
Cotabato City,"Jolo, Sulu",452.73,2004,
Cotabato City,"Jolo, Sulu",452.73,2005,
Cotabato City,"Jolo, Sulu",452.73,2006,
Cotabato City,"Jolo, Sulu",452.73,2007,
Cotabato City,"Jolo, Sulu",452.73,2008,
Cotabato City,"Jolo, Sulu",452.73,2009,
Cotabato City,"Jolo, Sulu",452.73,2010,
Cotabato City,"Jolo, Sulu",452.73,2011,
Cotabato City,"Jolo, Sulu",452.73,2012,
Cotabato City,"Jolo, Sulu",452.73,2013,
Cotabato City,"Jolo, Sulu",452.73,2014,
Cotabato City,"Jolo, Sulu",452.73,2015,
Cotabato City,"Jolo, Sulu",452.73,2016,
Cotabato City,"Jolo, Sulu",452.73,2017,
Cotabato City,"Jolo, Sulu",452.73,2018,
Cotabato City,"Jolo, Sulu",452.73,2019,
Cotabato City,"Jolo, Sulu",452.73,2020,
Cotabato City,"Jolo, Sulu",452.73,2021,
Cotabato City,"Jolo, Sulu",452.73,2022,
Cebu City,Manila,571.54,1995,
Cebu City,Manila,571.54,1996,156
Cebu City,Manila,571.54,1997,
Cebu City,Manila,571.54,1998,92
Cebu City,Manila,571.54,1999,107
Cebu City,Manila,571.54,2000,
Cebu City,Manila,571.54,2001,
Cebu City,Manila,571.54,2002,299
Cebu City,Manila,571.54,2003,
Cebu City,Manila,571.54,2004,
Cebu City,Manila,571.54,2005,
Cebu City,Manila,571.54,2006,
Cebu City,Manila,571.54,2007,
Cebu City,Manila,571.54,2008,
Cebu City,Manila,571.54,2009,57
Cebu City,Manila,571.54,2010,
Cebu City,Manila,571.54,2011,123
Cebu City,Manila,571.54,2012,
Cebu City,Manila,571.54,2013,285
Cebu City,Manila,571.54,2014,
Cebu City,Manila,571.54,2015,
Cebu City,Manila,571.54,2016,
Cebu City,Manila,571.54,2017,382
Cebu City,Manila,571.54,2018,
Cebu City,Manila,571.54,2019,236
Cebu City,Manila,571.54,2020,192
Cebu City,Manila,571.54,2021,12436
Cebu City,Manila,571.54,2022,980
Cebu City,Bacolod City,110.76,1995,
Cebu City,Bacolod City,110.76,1996,3
Cebu City,Bacolod City,110.76,1997,
Cebu City,Bacolod City,110.76,1998,
Cebu City,Bacolod City,110.76,1999,
Cebu City,Bacolod City,110.76,2000,
Cebu City,Bacolod City,110.76,2001,
Cebu City,Bacolod City,110.76,2002,
Cebu City,Bacolod City,110.76,2003,
Cebu City,Bacolod City,110.76,2004,
Cebu City,Bacolod City,110.76,2005,
Cebu City,Bacolod City,110.76,2006,
Cebu City,Bacolod City,110.76,2007,
Cebu City,Bacolod City,110.76,2008,
Cebu City,Bacolod City,110.76,2009,
Cebu City,Bacolod City,110.76,2010,
Cebu City,Bacolod City,110.76,2011,
Cebu City,Bacolod City,110.76,2012,
Cebu City,Bacolod City,110.76,2013,
Cebu City,Bacolod City,110.76,2014,
Cebu City,Bacolod City,110.76,2015,
Cebu City,Bacolod City,110.76,2016,6
Cebu City,Bacolod City,110.76,2017,112
Cebu City,Bacolod City,110.76,2018,66
Cebu City,Bacolod City,110.76,2019,8
Cebu City,Bacolod City,110.76,2020,28
Cebu City,Bacolod City,110.76,2021,
Cebu City,Bacolod City,110.76,2022,
Cebu City,Davao City,407.01,1995,
Cebu City,Davao City,407.01,1996,
Cebu City,Davao City,407.01,1997,
Cebu City,Davao City,407.01,1998,
Cebu City,Davao City,407.01,1999,1
Cebu City,Davao City,407.01,2000,1
Cebu City,Davao City,407.01,2001,1
Cebu City,Davao City,407.01,2002,
Cebu City,Davao City,407.01,2003,
Cebu City,Davao City,407.01,2004,
Cebu City,Davao City,407.01,2005,
Cebu City,Davao City,407.01,2006,
Cebu City,Davao City,407.01,2007,
Cebu City,Davao City,407.01,2008,
Cebu City,Davao City,407.01,2009,
Cebu City,Davao City,407.01,2010,
Cebu City,Davao City,407.01,2011,
Cebu City,Davao City,407.01,2012,
Cebu City,Davao City,407.01,2013,47
Cebu City,Davao City,407.01,2014,
Cebu City,Davao City,407.01,2015,
Cebu City,Davao City,407.01,2016,16
Cebu City,Davao City,407.01,2017,352
Cebu City,Davao City,407.01,2018,138
Cebu City,Davao City,407.01,2019,526
Cebu City,Davao City,407.01,2020,186
Cebu City,Davao City,407.01,2021,
Cebu City,Davao City,407.01,2022,12
Cebu City,Iloilo City,151.28,1995,
Cebu City,Iloilo City,151.28,1996,
Cebu City,Iloilo City,151.28,1997,
Cebu City,Iloilo City,151.28,1998,2
Cebu City,Iloilo City,151.28,1999,
Cebu City,Iloilo City,151.28,2000,
Cebu City,Iloilo City,151.28,2001,
Cebu City,Iloilo City,151.28,2002,
Cebu City,Iloilo City,151.28,2003,
Cebu City,Iloilo City,151.28,2004,
Cebu City,Iloilo City,151.28,2005,
Cebu City,Iloilo City,151.28,2006,
Cebu City,Iloilo City,151.28,2007,
Cebu City,Iloilo City,151.28,2008,
Cebu City,Iloilo City,151.28,2009,
Cebu City,Iloilo City,151.28,2010,
Cebu City,Iloilo City,151.28,2011,
Cebu City,Iloilo City,151.28,2012,
Cebu City,Iloilo City,151.28,2013,
Cebu City,Iloilo City,151.28,2014,
Cebu City,Iloilo City,151.28,2015,
Cebu City,Iloilo City,151.28,2016,
Cebu City,Iloilo City,151.28,2017,1
Cebu City,Iloilo City,151.28,2018,
Cebu City,Iloilo City,151.28,2019,246
Cebu City,Iloilo City,151.28,2020,
Cebu City,Iloilo City,151.28,2021,
Cebu City,Iloilo City,151.28,2022,
Cebu City,Zamboanga City,279.76,1995,
Cebu City,Zamboanga City,279.76,1996,12
Cebu City,Zamboanga City,279.76,1997,
Cebu City,Zamboanga City,279.76,1998,1
Cebu City,Zamboanga City,279.76,1999,3
Cebu City,Zamboanga City,279.76,2000,
Cebu City,Zamboanga City,279.76,2001,
Cebu City,Zamboanga City,279.76,2002,
Cebu City,Zamboanga City,279.76,2003,
Cebu City,Zamboanga City,279.76,2004,
Cebu City,Zamboanga City,279.76,2005,
Cebu City,Zamboanga City,279.76,2006,
Cebu City,Zamboanga City,279.76,2007,
Cebu City,Zamboanga City,279.76,2008,
Cebu City,Zamboanga City,279.76,2009,
Cebu City,Zamboanga City,279.76,2010,
Cebu City,Zamboanga City,279.76,2011,
Cebu City,Zamboanga City,279.76,2012,
Cebu City,Zamboanga City,279.76,2013,
Cebu City,Zamboanga City,279.76,2014,
Cebu City,Zamboanga City,279.76,2015,
Cebu City,Zamboanga City,279.76,2016,
Cebu City,Zamboanga City,279.76,2017,
Cebu City,Zamboanga City,279.76,2018,
Cebu City,Zamboanga City,279.76,2019,
Cebu City,Zamboanga City,279.76,2020,33
Cebu City,Zamboanga City,279.76,2021,
Cebu City,Zamboanga City,279.76,2022,31
Cebu City,Cagayan de Oro City,214.79,1995,
Cebu City,Cagayan de Oro City,214.79,1996,
Cebu City,Cagayan de Oro City,214.79,1997,
Cebu City,Cagayan de Oro City,214.79,1998,
Cebu City,Cagayan de Oro City,214.79,1999,
Cebu City,Cagayan de Oro City,214.79,2000,
Cebu City,Cagayan de Oro City,214.79,2001,
Cebu City,Cagayan de Oro City,214.79,2002,
Cebu City,Cagayan de Oro City,214.79,2003,
Cebu City,Cagayan de Oro City,214.79,2004,
Cebu City,Cagayan de Oro City,214.79,2005,
Cebu City,Cagayan de Oro City,214.79,2006,
Cebu City,Cagayan de Oro City,214.79,2007,
Cebu City,Cagayan de Oro City,214.79,2008,
